Comoound,x(BiMe1Me2)O3,Me1,Me2,Me3,frac-Me1,frac-Me2,frac-Me3,PT-content,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
Bi(ZnW),0.8,Zn,W,Ti,0.75,0.25,0,0.2,0.9487,14.0000,3.6900,3.8672,145.2000,No
Bi(ZnW),0.9,Zn,W,Ti,0.75,0.25,0,0.1,0.9389,14.7500,3.6788,3.8597,147.8500,No
BF,0.69,Fe,Fe,Ti,0.5,0.5,0,0.31,0.9788,11.4500,3.8007,3.8704,135.7300,Yes
BF,0.7,Fe,Fe,Ti,0.5,0.5,0,0.3,0.9781,11.5000,3.8010,3.8696,135.9000,Yes
BF,0.71,Fe,Fe,Ti,0.5,0.5,0,0.29,0.9773,11.5500,3.8013,3.8688,136.0700,Yes
BF,0.72,Fe,Fe,Ti,0.5,0.5,0,0.28,0.9766,11.6000,3.8016,3.8680,136.2400,Yes
BF,0.73,Fe,Fe,Ti,0.5,0.5,0,0.27,0.9759,11.6500,3.8019,3.8671,136.4100,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.05,0.95,0,0.62,0.9842,8.0000,3.7306,3.9308,114.9370,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.1,0.9,0,0.62,0.9852,8.0000,3.7344,3.9286,116.1340,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.125,0.875,0,0.62,0.9858,8.0000,3.7363,3.9274,116.7325,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.15,0.85,0,0.62,0.9863,8.0000,3.7382,3.9263,117.3310,Yes
BF,0,Fe,Fe,Ti,0.5,0.5,0,1,1.0272,8.0000,3.7800,3.9270,124.0000,Yes
BF,0.1,Fe,Fe,Ti,0.5,0.5,0,0.9,1.0202,8.5000,3.7830,3.9188,125.7000,Yes
BF,0.2,Fe,Fe,Ti,0.5,0.5,0,0.8,1.0132,9.0000,3.7860,3.9106,127.4000,Yes
BF,0.3,Fe,Fe,Ti,0.5,0.5,0,0.7,1.0061,9.5000,3.7890,3.9024,129.1000,Yes
BF,0.4,Fe,Fe,Ti,0.5,0.5,0,0.6,0.9991,10.0000,3.7920,3.8942,130.8000,Yes
BF,0.5,Fe,Fe,Ti,0.5,0.5,0,0.5,0.9921,10.5000,3.7950,3.8860,132.5000,Yes
BF,0.6,Fe,Fe,Ti,0.5,0.5,0,0.4,0.9851,11.0000,3.7980,3.8778,134.2000,Yes
